table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Indiana: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
".Hendricks County, Indiana","174,815","175,607","179,776","183,605","187,036","190,764","193,510"
".Henry County, Indiana","48,914","48,905","48,919","48,649","48,887","49,021","49,137"
".Howard County, Indiana","83,655","83,589","83,553","83,479","83,833","84,018","83,904"
".Huntington County, Indiana","36,663","36,646","36,800","36,767","36,798","36,965","37,224"
".Jackson County, Indiana","46,426","46,468","46,215","46,298","46,751","47,436","47,370"
".Jasper County, Indiana","32,925","32,911","33,170","33,297","33,516","33,655","33,894"
".Jay County, Indiana","20,479","20,480","20,294","20,138","20,097","20,259","20,118"
".Jefferson County, Indiana","33,139","33,091","32,935","32,812","32,971","33,064","33,279"
".Jennings County, Indiana","27,617","27,587","27,510","27,467","27,630","27,724","27,622"
".Johnson County, Indiana","161,776","162,237","164,330","165,804","168,405","171,023","174,262"
".Knox County, Indiana","36,284","36,253","35,964","35,854","35,961","35,757","35,652"
".Kosciusko County, Indiana","80,234","80,152","80,242","80,624","80,338","80,769","80,892"
".LaGrange County, Indiana","40,445","40,537","40,516","40,802","40,943","41,118","41,305"
".Lake County, Indiana","498,695","498,943","499,015","499,630","500,134","502,497","504,612"
".LaPorte County, Indiana","112,418","112,279","112,404","111,617","111,144","111,349","111,294"
".Lawrence County, Indiana","45,012","45,013","45,038","45,230","45,044","45,230","45,568"
".Madison County, Indiana","130,099","130,155","130,524","130,977","132,031","133,572","135,088"
".Marion County, Indiana","977,202","976,708","971,373","974,293","980,327","990,213","992,196"
".Marshall County, Indiana","46,079","46,064","46,106","46,321","46,269","46,538","46,599"
".Martin County, Indiana","9,810","9,808","9,802","9,813","9,863","9,888","9,856"
".Miami County, Indiana","35,960","35,907","34,857","34,211","34,034","34,465","34,487"
".Monroe County, Indiana","140,769","140,629","144,658","144,456","143,548","142,832","143,345"
".Montgomery County, Indiana","37,932","37,938","38,018","38,327","38,692","38,910","38,954"
".Morgan County, Indiana","71,776","71,842","72,290","72,326","73,245","74,045","74,967"
".Newton County, Indiana","13,825","13,787","13,811","13,828","14,027","14,087","14,188"
".Noble County, Indiana","47,467","47,465","47,385","47,266","47,501","47,946","47,937"
".Ohio County, Indiana","5,933","5,926","5,983","6,091","5,998","6,001","5,994"
".Orange County, Indiana","19,865","19,845","19,795","19,611","19,701","19,801","19,834"
".Owen County, Indiana","21,336","21,325","21,408","21,381","21,587","21,658","21,886"
".Parke County, Indiana","16,159","16,153","16,506","16,257","16,200","16,456","16,642"
".Perry County, Indiana","19,175","19,160","19,098","18,893","19,210","19,388","19,389"
".Pike County, Indiana","12,251","12,246","12,170","12,120","12,058","12,074","12,003"
".Porter County, Indiana","173,222","173,319","174,457","174,767","174,845","175,420","176,049"
".Posey County, Indiana","25,227","25,190","25,160","25,081","25,024","25,058","24,988"
".Pulaski County, Indiana","12,518","12,519","12,361","12,434","12,427","12,433","12,463"
".Putnam County, Indiana","36,735","36,696","37,026","37,107","37,200","37,758","37,876"
".Randolph County, Indiana","24,503","24,414","24,418","24,396","24,356","24,385","24,438"
".Ripley County, Indiana","28,991","28,979","28,993","28,992","29,241","29,360","29,434"
".Rush County, Indiana","16,750","16,765","16,682","16,649","16,805","16,752","16,767"
".St. Joseph County, Indiana","272,910","272,686","272,235","272,478","273,119","272,936","272,861"
".Scott County, Indiana","24,387","24,381","24,414","24,442","24,687","24,852","25,053"
".Shelby County, Indiana","45,053","45,065","45,086","45,165","45,266","45,613","45,882"
".Spencer County, Indiana","19,809","19,831","19,855","19,886","20,014","20,157","20,061"
".Starke County, Indiana","23,381","23,397","23,381","23,237","23,309","23,406","23,425"
".Steuben County, Indiana","34,440","34,452","34,710","34,716","34,876","34,788","34,799"
".Sullivan County, Indiana","20,819","20,820","20,783","20,664","20,714","20,693","20,831"
".Switzerland County, Indiana","9,752","9,740","9,859","9,975","9,964","10,035","10,037"
".Tippecanoe County, Indiana","186,255","186,383","187,402","188,836","189,448","189,910","190,456"
".Tipton County, Indiana","15,354","15,389","15,369","15,304","15,313","15,371","15,319"
".Union County, Indiana","7,090","7,085","7,022","6,982","6,989","6,934","6,863"
".Vanderburgh County, Indiana","180,132","180,341","180,098","179,604","180,246","181,140","181,995"
".Vermillion County, Indiana","15,436","15,402","15,408","15,357","15,339","15,531","15,488"
".Vigo County, Indiana","106,168","106,143","106,083","106,014","106,086","106,198","106,512"
".Wabash County, Indiana","30,978","30,932","30,888","30,811","30,700","30,726","30,713"
".Warren County, Indiana","8,436","8,425","8,449","8,472","8,497","8,467","8,474"
".Warrick County, Indiana","63,894","64,003","64,634","65,252","65,986","66,321","66,803"
".Washington County, Indiana","28,161","28,230","28,125","28,152","28,185","28,358","28,383"
".Wayne County, Indiana","66,552","66,517","66,427","66,238","66,129","66,336","66,169"
".Wells County, Indiana","28,177","28,161","28,157","28,325","28,648","28,840","28,883"
".White County, Indiana","24,694","24,674","24,706","24,836","25,032","25,168","25,164"
".Whitley County, Indiana","34,185","34,337","34,505","34,630","34,832","34,932","35,046"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0466). ",,,,,,,
"The estimates are based on the 2020 Modified Age and Race Census (MARC) file and include changes from Count Question Resolution, the Post-Census Group Quarters Review, and geographic revisions. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2025 population estimates series are as of January 1, 2025.",,,,,,,
Suggested Citation:,,,,,,,
"Annual Estimates of the Resident Population for Counties in Indiana: April 1, 2020 to July 1, 2025 (CO-EST2025-POP-18)",,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,
Release Date: March 2026,,,,,,,
