table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Indiana: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
,,2020,2021,2022,2023,2024,2025
Indiana,"6,786,605","6,790,290","6,814,223","6,841,491","6,881,373","6,934,754","6,973,333"
".Adams County, Indiana","35,808","35,852","35,991","36,162","36,438","36,542","36,650"
".Allen County, Indiana","385,417","386,107","389,023","391,751","394,845","399,094","402,329"
".Bartholomew County, Indiana","82,210","82,213","82,699","83,542","84,071","84,942","85,729"
".Benton County, Indiana","8,712","8,708","8,684","8,674","8,774","8,881","8,883"
".Blackford County, Indiana","12,110","12,108","12,047","11,902","11,881","11,822","11,730"
".Boone County, Indiana","70,786","71,113","72,993","74,377","76,137","78,640","80,689"
".Brown County, Indiana","15,472","15,481","15,578","15,586","15,643","15,621","15,777"
".Carroll County, Indiana","20,309","20,339","20,515","20,482","20,556","20,710","20,655"
".Cass County, Indiana","37,869","37,794","37,572","37,750","38,024","37,929","37,836"
".Clark County, Indiana","121,110","121,374","122,860","124,254","125,691","127,763","130,451"
".Clay County, Indiana","26,459","26,426","26,395","26,370","26,400","26,352","26,410"
".Clinton County, Indiana","33,195","33,185","32,994","32,870","33,091","33,307","33,322"
".Crawford County, Indiana","10,532","10,527","10,497","10,521","10,437","10,567","10,509"
".Daviess County, Indiana","33,380","33,360","33,348","33,533","33,863","34,131","34,209"
".Dearborn County, Indiana","50,676","50,754","50,875","50,978","51,527","51,714","51,609"
".Decatur County, Indiana","26,470","26,467","26,308","26,409","26,366","26,514","26,576"
".DeKalb County, Indiana","43,262","43,292","43,372","43,737","44,148","44,338","44,535"
".Delaware County, Indiana","111,904","111,764","112,021","112,091","112,341","112,752","113,106"
".Dubois County, Indiana","43,627","43,640","43,522","43,535","43,766","43,942","44,016"
".Elkhart County, Indiana","207,049","206,985","206,970","207,185","207,133","208,196","208,774"
".Fayette County, Indiana","23,403","23,365","23,394","23,368","23,377","23,580","23,533"
".Floyd County, Indiana","80,481","80,519","80,490","80,552","80,797","81,799","82,153"
".Fountain County, Indiana","16,481","16,492","16,476","16,597","16,669","16,872","17,013"
".Franklin County, Indiana","22,790","22,791","22,887","23,104","23,184","23,136","23,286"
".Fulton County, Indiana","20,484","20,476","20,404","20,355","20,328","20,035","20,091"
".Gibson County, Indiana","33,020","33,059","32,961","32,973","32,901","32,998","33,091"
".Grant County, Indiana","66,672","66,505","66,152","65,900","66,188","66,236","66,524"
".Greene County, Indiana","30,799","30,803","30,842","31,030","31,086","31,192","31,165"
".Hamilton County, Indiana","347,490","349,011","357,542","366,036","372,450","379,685","387,036"
".Hancock County, Indiana","79,828","80,175","81,848","83,016","86,159","88,877","90,969"
".Harrison County, Indiana","39,656","39,673","39,805","39,805","40,046","40,186","40,437"
