"Election","Office","ReportingCountyName","NameonBallot","PoliticalParty","TotalVotes"
"2022 General Election","Auditor Of State","Floyd","Zenai Brooks","Democratic","10091"
"2022 General Election","Auditor Of State","Fountain","John Andrew Schick","Libertarian","173"
"2022 General Election","Auditor Of State","Fountain","Tera K. Klutz","Republican","3917"
"2022 General Election","Auditor Of State","Fountain","Zenai Brooks","Democratic","886"
"2022 General Election","Auditor Of State","Franklin","John Andrew Schick","Libertarian","221"
"2022 General Election","Auditor Of State","Franklin","Tera K. Klutz","Republican","5912"
"2022 General Election","Auditor Of State","Franklin","Zenai Brooks","Democratic","1179"
"2022 General Election","Auditor Of State","Fulton","John Andrew Schick","Libertarian","147"
"2022 General Election","Auditor Of State","Fulton","Tera K. Klutz","Republican","4174"
"2022 General Election","Auditor Of State","Fulton","Zenai Brooks","Democratic","1163"
"2022 General Election","Auditor Of State","Gibson","John Andrew Schick","Libertarian","273"
"2022 General Election","Auditor Of State","Gibson","Tera K. Klutz","Republican","7525"
"2022 General Election","Auditor Of State","Gibson","Zenai Brooks","Democratic","2272"
"2022 General Election","Auditor Of State","Grant","John Andrew Schick","Libertarian","489"
"2022 General Election","Auditor Of State","Grant","Tera K. Klutz","Republican","11371"
"2022 General Election","Auditor Of State","Grant","Zenai Brooks","Democratic","3825"
"2022 General Election","Auditor Of State","Greene","John Andrew Schick","Libertarian","348"
"2022 General Election","Auditor Of State","Greene","Tera K. Klutz","Republican","6898"
"2022 General Election","Auditor Of State","Greene","Zenai Brooks","Democratic","2074"
"2022 General Election","Auditor Of State","Hamilton","John Andrew Schick","Libertarian","4437"
"2022 General Election","Auditor Of State","Hamilton","Tera K. Klutz","Republican","74515"
"2022 General Election","Auditor Of State","Hamilton","Zenai Brooks","Democratic","49243"
"2022 General Election","Auditor Of State","Hancock","John Andrew Schick","Libertarian","1273"
"2022 General Election","Auditor Of State","Hancock","Tera K. Klutz","Republican","16331"
"2022 General Election","Auditor Of State","Hancock","Zenai Brooks","Democratic","6172"
"2022 General Election","Auditor Of State","Harrison","John Andrew Schick","Libertarian","491"
"2022 General Election","Auditor Of State","Harrison","Tera K. Klutz","Republican","9893"
"2022 General Election","Auditor Of State","Harrison","Zenai Brooks","Democratic","3341"
"2022 General Election","Auditor Of State","Hendricks","John Andrew Schick","Libertarian","2076"
"2022 General Election","Auditor Of State","Hendricks","Tera K. Klutz","Republican","30859"
"2022 General Election","Auditor Of State","Hendricks","Zenai Brooks","Democratic","15402"
"2022 General Election","Auditor Of State","Henry","John Andrew Schick","Libertarian","629"
"2022 General Election","Auditor Of State","Henry","Tera K. Klutz","Republican","9659"
"2022 General Election","Auditor Of State","Henry","Zenai Brooks","Democratic","3120"
"2022 General Election","Auditor Of State","Howard","John Andrew Schick","Libertarian","904"
"2022 General Election","Auditor Of State","Howard","Tera K. Klutz","Republican","16851"
"2022 General Election","Auditor Of State","Howard","Zenai Brooks","Democratic","6948"
"2022 General Election","Auditor Of State","Huntington","John Andrew Schick","Libertarian","412"
"2022 General Election","Auditor Of State","Huntington","Tera K. Klutz","Republican","8460"
"2022 General Election","Auditor Of State","Huntington","Zenai Brooks","Democratic","2375"
"2022 General Election","Auditor Of State","Jackson","John Andrew Schick","Libertarian","353"
"2022 General Election","Auditor Of State","Jackson","Tera K. Klutz","Republican","8543"
"2022 General Election","Auditor Of State","Jackson","Zenai Brooks","Democratic","2234"
"2022 General Election","Auditor Of State","Jasper","John Andrew Schick","Libertarian","248"
"2022 General Election","Auditor Of State","Jasper","Tera K. Klutz","Republican","7118"
"2022 General Election","Auditor Of State","Jasper","Zenai Brooks","Democratic","1847"
"2022 General Election","Auditor Of State","Jay","John Andrew Schick","Libertarian","206"
"2022 General Election","Auditor Of State","Jay","Tera K. Klutz","Republican","4002"
"2022 General Election","Auditor Of State","Jay","Zenai Brooks","Democratic","1148"
"2022 General Election","Auditor Of State","Jefferson","John Andrew Schick","Libertarian","316"
"2022 General Election","Auditor Of State","Jefferson","Tera K. Klutz","Republican","6398"
"2022 General Election","Auditor Of State","Jefferson","Zenai Brooks","Democratic","2989"
"2022 General Election","Auditor Of State","Jennings","John Andrew Schick","Libertarian","425"
"2022 General Election","Auditor Of State","Jennings","Tera K. Klutz","Republican","5889"
"2022 General Election","Auditor Of State","Jennings","Zenai Brooks","Democratic","1529"
"2022 General Election","Auditor Of State","Johnson","John Andrew Schick","Libertarian","1919"
"2022 General Election","Auditor Of State","Johnson","Tera K. Klutz","Republican","30463"
"2022 General Election","Auditor Of State","Johnson","Zenai Brooks","Democratic","12300"
"2022 General Election","Auditor Of State","Knox","John Andrew Schick","Libertarian","390"
"2022 General Election","Auditor Of State","Knox","Tera K. Klutz","Republican","7202"
"2022 General Election","Auditor Of State","Knox","Zenai Brooks","Democratic","2363"
"2022 General Election","Auditor Of State","Kosciusko","John Andrew Schick","Libertarian","948"
"2022 General Election","Auditor Of State","Kosciusko","Tera K. Klutz","Republican","17652"
"2022 General Election","Auditor Of State","Kosciusko","Zenai Brooks","Democratic","3861"
"2022 General Election","Auditor Of State","Lagrange","John Andrew Schick","Libertarian","196"
"2022 General Election","Auditor Of State","Lagrange","Tera K. Klutz","Republican","5173"
"2022 General Election","Auditor Of State","Lagrange","Zenai Brooks","Democratic","1169"
"2022 General Election","Auditor Of State","Lake","John Andrew Schick","Libertarian","3399"
"2022 General Election","Auditor Of State","Lake","Tera K. Klutz","Republican","60037"
"2022 General Election","Auditor Of State","Lake","Zenai Brooks","Democratic","68706"
"2022 General Election","Auditor Of State","Laporte","John Andrew Schick","Libertarian","1293"
"2022 General Election","Auditor Of State","Laporte","Tera K. Klutz","Republican","17473"
"2022 General Election","Auditor Of State","Laporte","Zenai Brooks","Democratic","12943"
"2022 General Election","Auditor Of State","Lawrence","John Andrew Schick","Libertarian","494"
"2022 General Election","Auditor Of State","Lawrence","Tera K. Klutz","Republican","9573"
"2022 General Election","Auditor Of State","Lawrence","Zenai Brooks","Democratic","2554"
"2022 General Election","Auditor Of State","Madison","John Andrew Schick","Libertarian","1540"
"2022 General Election","Auditor Of State","Madison","Tera K. Klutz","Republican","22098"
"2022 General Election","Auditor Of State","Madison","Zenai Brooks","Democratic","11988"
"2022 General Election","Auditor Of State","Marion","John Andrew Schick","Libertarian","7544"
"2022 General Election","Auditor Of State","Marion","Tera K. Klutz","Republican","82951"
"2022 General Election","Auditor Of State","Marion","Zenai Brooks","Democratic","132320"
"2022 General Election","Auditor Of State","Marshall","John Andrew Schick","Libertarian","378"
"2022 General Election","Auditor Of State","Marshall","Tera K. Klutz","Republican","9375"
"2022 General Election","Auditor Of State","Marshall","Zenai Brooks","Democratic","2905"
"2022 General Election","Auditor Of State","Martin","John Andrew Schick","Libertarian","200"
"2022 General Election","Auditor Of State","Martin","Tera K. Klutz","Republican","2572"
"2022 General Election","Auditor Of State","Martin","Zenai Brooks","Democratic","633"
"2022 General Election","Auditor Of State","Miami","John Andrew Schick","Libertarian","284"
"2022 General Election","Auditor Of State","Miami","Tera K. Klutz","Republican","6536"
"2022 General Election","Auditor Of State","Miami","Zenai Brooks","Democratic","1641"
"2022 General Election","Auditor Of State","Monroe","John Andrew Schick","Libertarian","1357"
"2022 General Election","Auditor Of State","Monroe","Tera K. Klutz","Republican","14503"
"2022 General Election","Auditor Of State","Monroe","Zenai Brooks","Democratic","23853"
"2022 General Election","Auditor Of State","Montgomery","John Andrew Schick","Libertarian","425"
"2022 General Election","Auditor Of State","Montgomery","Tera K. Klutz","Republican","7270"
"2022 General Election","Auditor Of State","Montgomery","Zenai Brooks","Democratic","1995"
"2022 General Election","Auditor Of State","Morgan","John Andrew Schick","Libertarian","1875"
"2022 General Election","Auditor Of State","Morgan","Tera K. Klutz","Republican","15726"
"2022 General Election","Auditor Of State","Morgan","Zenai Brooks","Democratic","4102"
"2022 General Election","Auditor Of State","Newton","John Andrew Schick","Libertarian","161"
"2022 General Election","Auditor Of State","Newton","Tera K. Klutz","Republican","3053"
"2022 General Election","Auditor Of State","Newton","Zenai Brooks","Democratic","752"
"2022 General Election","Auditor Of State","Noble","John Andrew Schick","Libertarian","315"
"2022 General Election","Auditor Of State","Noble","Tera K. Klutz","Republican","8815"
"2022 General Election","Auditor Of State","Noble","Zenai Brooks","Democratic","2293"
"2022 General Election","Auditor Of State","Ohio","John Andrew Schick","Libertarian","52"
"2022 General Election","Auditor Of State","Ohio","Tera K. Klutz","Republican","1474"
"2022 General Election","Auditor Of State","Ohio","Zenai Brooks","Democratic","436"
"2022 General Election","Auditor Of State","Orange","John Andrew Schick","Libertarian","150"
"2022 General Election","Auditor Of State","Orange","Tera K. Klutz","Republican","4059"
"2022 General Election","Auditor Of State","Orange","Zenai Brooks","Democratic","1136"
"2022 General Election","Auditor Of State","Owen","John Andrew Schick","Libertarian","397"
"2022 General Election","Auditor Of State","Owen","Tera K. Klutz","Republican","4277"
"2022 General Election","Auditor Of State","Owen","Zenai Brooks","Democratic","1439"
"2022 General Election","Auditor Of State","Parke","John Andrew Schick","Libertarian","172"
"2022 General Election","Auditor Of State","Parke","Tera K. Klutz","Republican","3425"
"2022 General Election","Auditor Of State","Parke","Zenai Brooks","Democratic","848"
"2022 General Election","Auditor Of State","Perry","John Andrew Schick","Libertarian","193"
"2022 General Election","Auditor Of State","Perry","Tera K. Klutz","Republican","3662"
"2022 General Election","Auditor Of State","Perry","Zenai Brooks","Democratic","2299"
"2022 General Election","Auditor Of State","Pike","John Andrew Schick","Libertarian","91"
"2022 General Election","Auditor Of State","Pike","Tera K. Klutz","Republican","2744"
"2022 General Election","Auditor Of State","Pike","Zenai Brooks","Democratic","799"
"2022 General Election","Auditor Of State","Porter","John Andrew Schick","Libertarian","1758"
"2022 General Election","Auditor Of State","Porter","Tera K. Klutz","Republican","31371"
"2022 General Election","Auditor Of State","Porter","Zenai Brooks","Democratic","24555"
"2022 General Election","Auditor Of State","Posey","John Andrew Schick","Libertarian","263"
"2022 General Election","Auditor Of State","Posey","Tera K. Klutz","Republican","6188"
"2022 General Election","Auditor Of State","Posey","Zenai Brooks","Democratic","2154"
"2022 General Election","Auditor Of State","Pulaski","John Andrew Schick","Libertarian","102"
"2022 General Election","Auditor Of State","Pulaski","Tera K. Klutz","Republican","2846"
"2022 General Election","Auditor Of State","Pulaski","Zenai Brooks","Democratic","738"
"2022 General Election","Auditor Of State","Putnam","John Andrew Schick","Libertarian","491"
"2022 General Election","Auditor Of State","Putnam","Tera K. Klutz","Republican","7241"
"2022 General Election","Auditor Of State","Putnam","Zenai Brooks","Democratic","2140"
"2022 General Election","Auditor Of State","Randolph","John Andrew Schick","Libertarian","242"
"2022 General Election","Auditor Of State","Randolph","Tera K. Klutz","Republican","5255"
"2022 General Election","Auditor Of State","Randolph","Zenai Brooks","Democratic","1333"
"2022 General Election","Auditor Of State","Ripley","John Andrew Schick","Libertarian","267"
"2022 General Election","Auditor Of State","Ripley","Tera K. Klutz","Republican","6631"
"2022 General Election","Auditor Of State","Ripley","Zenai Brooks","Democratic","1435"
"2022 General Election","Auditor Of State","Rush","John Andrew Schick","Libertarian","230"
"2022 General Election","Auditor Of State","Rush","Tera K. Klutz","Republican","3709"
"2022 General Election","Auditor Of State","Rush","Zenai Brooks","Democratic","879"
"2022 General Election","Auditor Of State","Scott","John Andrew Schick","Libertarian","252"
"2022 General Election","Auditor Of State","Scott","Tera K. Klutz","Republican","4481"
"2022 General Election","Auditor Of State","Scott","Zenai Brooks","Democratic","1931"
"2022 General Election","Auditor Of State","Shelby","John Andrew Schick","Libertarian","559"
"2022 General Election","Auditor Of State","Shelby","Tera K. Klutz","Republican","8346"
"2022 General Election","Auditor Of State","Shelby","Zenai Brooks","Democratic","2535"
"2022 General Election","Auditor Of State","Spencer","John Andrew Schick","Libertarian","212"
"2022 General Election","Auditor Of State","Spencer","Tera K. Klutz","Republican","5221"
"2022 General Election","Auditor Of State","Spencer","Zenai Brooks","Democratic","2086"
"2022 General Election","Auditor Of State","St. Joseph","John Andrew Schick","Libertarian","1909"
"2022 General Election","Auditor Of State","St. Joseph","Tera K. Klutz","Republican","36810"
"2022 General Election","Auditor Of State","St. Joseph","Zenai Brooks","Democratic","32336"
"2022 General Election","Auditor Of State","Starke","John Andrew Schick","Libertarian","273"
"2022 General Election","Auditor Of State","Starke","Tera K. Klutz","Republican","4824"
"2022 General Election","Auditor Of State","Starke","Zenai Brooks","Democratic","1666"
"2022 General Election","Auditor Of State","Steuben","John Andrew Schick","Libertarian","266"
"2022 General Election","Auditor Of State","Steuben","Tera K. Klutz","Republican","7003"
"2022 General Election","Auditor Of State","Steuben","Zenai Brooks","Democratic","2347"
"2022 General Election","Auditor Of State","Sullivan","John Andrew Schick","Libertarian","278"
"2022 General Election","Auditor Of State","Sullivan","Tera K. Klutz","Republican","4303"
"2022 General Election","Auditor Of State","Sullivan","Zenai Brooks","Democratic","1614"
"2022 General Election","Auditor Of State","Switzerland","John Andrew Schick","Libertarian","93"
"2022 General Election","Auditor Of State","Switzerland","Tera K. Klutz","Republican","1937"
"2022 General Election","Auditor Of State","Switzerland","Zenai Brooks","Democratic","589"
"2022 General Election","Auditor Of State","Tippecanoe","John Andrew Schick","Libertarian","1241"
"2022 General Election","Auditor Of State","Tippecanoe","Tera K. Klutz","Republican","20013"
"2022 General Election","Auditor Of State","Tippecanoe","Zenai Brooks","Democratic","17108"
"2022 General Election","Auditor Of State","Tipton","John Andrew Schick","Libertarian","234"
"2022 General Election","Auditor Of State","Tipton","Tera K. Klutz","Republican","3871"
"2022 General Election","Auditor Of State","Tipton","Zenai Brooks","Democratic","1081"
"2022 General Election","Auditor Of State","Union","John Andrew Schick","Libertarian","86"
"2022 General Election","Auditor Of State","Union","Tera K. Klutz","Republican","1903"
"2022 General Election","Auditor Of State","Union","Zenai Brooks","Democratic","454"
"2022 General Election","Auditor Of State","Vanderburgh","John Andrew Schick","Libertarian","1340"
"2022 General Election","Auditor Of State","Vanderburgh","Tera K. Klutz","Republican","26850"
"2022 General Election","Auditor Of State","Vanderburgh","Zenai Brooks","Democratic","18299"
"2022 General Election","Auditor Of State","Vermillion","John Andrew Schick","Libertarian","205"
"2022 General Election","Auditor Of State","Vermillion","Tera K. Klutz","Republican","3230"
"2022 General Election","Auditor Of State","Vermillion","Zenai Brooks","Democratic","1534"
"2022 General Election","Auditor Of State","Vigo","John Andrew Schick","Libertarian","1080"
"2022 General Election","Auditor Of State","Vigo","Tera K. Klutz","Republican","14870"
"2022 General Election","Auditor Of State","Vigo","Zenai Brooks","Democratic","10400"
"2022 General Election","Auditor Of State","Wabash","John Andrew Schick","Libertarian","287"
"2022 General Election","Auditor Of State","Wabash","Tera K. Klutz","Republican","7499"
"2022 General Election","Auditor Of State","Wabash","Zenai Brooks","Democratic","1923"
"2022 General Election","Auditor Of State","Warren","John Andrew Schick","Libertarian","90"
"2022 General Election","Auditor Of State","Warren","Tera K. Klutz","Republican","2177"
"2022 General Election","Auditor Of State","Warren","Zenai Brooks","Democratic","526"
"2022 General Election","Auditor Of State","Warrick","John Andrew Schick","Libertarian","471"
"2022 General Election","Auditor Of State","Warrick","Tera K. Klutz","Republican","13318"
"2022 General Election","Auditor Of State","Warrick","Zenai Brooks","Democratic","6116"
"2022 General Election","Auditor Of State","Washington","John Andrew Schick","Libertarian","268"
"2022 General Election","Auditor Of State","Washington","Tera K. Klutz","Republican","6047"
"2022 General Election","Auditor Of State","Washington","Zenai Brooks","Democratic","1620"
"2022 General Election","Auditor Of State","Wayne","John Andrew Schick","Libertarian","646"
"2022 General Election","Auditor Of State","Wayne","Tera K. Klutz","Republican","10914"
"2022 General Election","Auditor Of State","Wayne","Zenai Brooks","Democratic","4949"
"2022 General Election","Auditor Of State","Wells","John Andrew Schick","Libertarian","305"
"2022 General Election","Auditor Of State","Wells","Tera K. Klutz","Republican","7257"
"2022 General Election","Auditor Of State","Wells","Zenai Brooks","Democratic","1509"
"2022 General Election","Auditor Of State","White","John Andrew Schick","Libertarian","196"
"2022 General Election","Auditor Of State","White","Tera K. Klutz","Republican","4999"
"2022 General Election","Auditor Of State","White","Zenai Brooks","Democratic","1503"
"2022 General Election","Auditor Of State","Whitley","John Andrew Schick","Libertarian","489"
"2022 General Election","Auditor Of State","Whitley","Tera K. Klutz","Republican","8617"
"2022 General Election","Auditor Of State","Whitley","Zenai Brooks","Democratic","2311"
"2022 General Election","Secretary Of State","Adams","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Adams","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Adams","Destiny Wells","Democratic","2081"
"2022 General Election","Secretary Of State","Adams","Diego Morales","Republican","6497"
"2022 General Election","Secretary Of State","Adams","Jeffrey Maurer","Libertarian","298"
"2022 General Election","Secretary Of State","Allen","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Allen","David Wetterer (W/I)","Green","2"
"2022 General Election","Secretary Of State","Allen","Destiny Wells","Democratic","41911"
"2022 General Election","Secretary Of State","Allen","Diego Morales","Republican","55203"
"2022 General Election","Secretary Of State","Allen","Jeffrey Maurer","Libertarian","3883"
"2022 General Election","Secretary Of State","Bartholomew","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Bartholomew","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Bartholomew","Destiny Wells","Democratic","8180"
"2022 General Election","Secretary Of State","Bartholomew","Diego Morales","Republican","12544"
"2022 General Election","Secretary Of State","Bartholomew","Jeffrey Maurer","Libertarian","1665"
"2022 General Election","Secretary Of State","Benton","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Benton","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Benton","Destiny Wells","Democratic","498"
"2022 General Election","Secretary Of State","Benton","Diego Morales","Republican","1884"
"2022 General Election","Secretary Of State","Benton","Jeffrey Maurer","Libertarian","85"
"2022 General Election","Secretary Of State","Blackford","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Blackford","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Blackford","Destiny Wells","Democratic","896"
"2022 General Election","Secretary Of State","Blackford","Diego Morales","Republican","2221"
"2022 General Election","Secretary Of State","Blackford","Jeffrey Maurer","Libertarian","231"
"2022 General Election","Secretary Of State","Boone","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Boone","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Boone","Destiny Wells","Democratic","9953"
"2022 General Election","Secretary Of State","Boone","Diego Morales","Republican","12293"
"2022 General Election","Secretary Of State","Boone","Jeffrey Maurer","Libertarian","2395"
"2022 General Election","Secretary Of State","Brown","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Brown","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Brown","Destiny Wells","Democratic","2276"
"2022 General Election","Secretary Of State","Brown","Diego Morales","Republican","3329"
"2022 General Election","Secretary Of State","Brown","Jeffrey Maurer","Libertarian","691"
"2022 General Election","Secretary Of State","Carroll","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Carroll","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Carroll","Destiny Wells","Democratic","1431"
"2022 General Election","Secretary Of State","Carroll","Diego Morales","Republican","4353"
"2022 General Election","Secretary Of State","Carroll","Jeffrey Maurer","Libertarian","411"
"2022 General Election","Secretary Of State","Cass","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Cass","David Wetterer (W/I)","Green","2"
"2022 General Election","Secretary Of State","Cass","Destiny Wells","Democratic","2504"
"2022 General Election","Secretary Of State","Cass","Diego Morales","Republican","5611"
"2022 General Election","Secretary Of State","Cass","Jeffrey Maurer","Libertarian","417"
"2022 General Election","Secretary Of State","Clark","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Clark","David Wetterer (W/I)","Green","2"
"2022 General Election","Secretary Of State","Clark","Destiny Wells","Democratic","13855"
"2022 General Election","Secretary Of State","Clark","Diego Morales","Republican","20826"
"2022 General Election","Secretary Of State","Clark","Jeffrey Maurer","Libertarian","1306"
"2022 General Election","Secretary Of State","Clay","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Clay","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Clay","Destiny Wells","Democratic","1692"
"2022 General Election","Secretary Of State","Clay","Diego Morales","Republican","5393"
"2022 General Election","Secretary Of State","Clay","Jeffrey Maurer","Libertarian","485"
"2022 General Election","Secretary Of State","Clinton","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Clinton","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Clinton","Destiny Wells","Democratic","1820"
"2022 General Election","Secretary Of State","Clinton","Diego Morales","Republican","4904"
"2022 General Election","Secretary Of State","Clinton","Jeffrey Maurer","Libertarian","485"
"2022 General Election","Secretary Of State","Crawford","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Crawford","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Crawford","Destiny Wells","Democratic","1129"
"2022 General Election","Secretary Of State","Crawford","Diego Morales","Republican","2296"
"2022 General Election","Secretary Of State","Crawford","Jeffrey Maurer","Libertarian","154"
"2022 General Election","Secretary Of State","Daviess","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Daviess","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Daviess","Destiny Wells","Democratic","1190"
"2022 General Election","Secretary Of State","Daviess","Diego Morales","Republican","5509"
"2022 General Election","Secretary Of State","Daviess","Jeffrey Maurer","Libertarian","242"
"2022 General Election","Secretary Of State","Dearborn","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Dearborn","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Dearborn","Destiny Wells","Democratic","2720"
"2022 General Election","Secretary Of State","Dearborn","Diego Morales","Republican","11104"
"2022 General Election","Secretary Of State","Dearborn","Jeffrey Maurer","Libertarian","438"
"2022 General Election","Secretary Of State","Decatur","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Decatur","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Decatur","Destiny Wells","Democratic","1684"
"2022 General Election","Secretary Of State","Decatur","Diego Morales","Republican","5437"
"2022 General Election","Secretary Of State","Decatur","Jeffrey Maurer","Libertarian","833"
"2022 General Election","Secretary Of State","Dekalb","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Dekalb","David Wetterer (W/I)","Green","1"
