"Election","Office","ReportingCountyName","NameonBallot","PoliticalParty","TotalVotes"
"2022 General Election","Auditor Of State","Adams","John Andrew Schick","Libertarian","249"
"2022 General Election","Auditor Of State","Adams","Tera K. Klutz","Republican","6887"
"2022 General Election","Auditor Of State","Adams","Zenai Brooks","Democratic","1754"
"2022 General Election","Auditor Of State","Allen","John Andrew Schick","Libertarian","2794"
"2022 General Election","Auditor Of State","Allen","Tera K. Klutz","Republican","61104"
"2022 General Election","Auditor Of State","Allen","Zenai Brooks","Democratic","36957"
"2022 General Election","Auditor Of State","Bartholomew","John Andrew Schick","Libertarian","857"
"2022 General Election","Auditor Of State","Bartholomew","Tera K. Klutz","Republican","14200"
"2022 General Election","Auditor Of State","Bartholomew","Zenai Brooks","Democratic","7259"
"2022 General Election","Auditor Of State","Benton","John Andrew Schick","Libertarian","81"
"2022 General Election","Auditor Of State","Benton","Tera K. Klutz","Republican","1938"
"2022 General Election","Auditor Of State","Benton","Zenai Brooks","Democratic","445"
"2022 General Election","Auditor Of State","Blackford","John Andrew Schick","Libertarian","189"
"2022 General Election","Auditor Of State","Blackford","Tera K. Klutz","Republican","2432"
"2022 General Election","Auditor Of State","Blackford","Zenai Brooks","Democratic","740"
"2022 General Election","Auditor Of State","Boone","John Andrew Schick","Libertarian","1037"
"2022 General Election","Auditor Of State","Boone","Tera K. Klutz","Republican","15057"
"2022 General Election","Auditor Of State","Boone","Zenai Brooks","Democratic","8539"
"2022 General Election","Auditor Of State","Brown","John Andrew Schick","Libertarian","365"
"2022 General Election","Auditor Of State","Brown","Tera K. Klutz","Republican","3899"
"2022 General Election","Auditor Of State","Brown","Zenai Brooks","Democratic","2019"
"2022 General Election","Auditor Of State","Carroll","John Andrew Schick","Libertarian","296"
"2022 General Election","Auditor Of State","Carroll","Tera K. Klutz","Republican","4707"
"2022 General Election","Auditor Of State","Carroll","Zenai Brooks","Democratic","1197"
"2022 General Election","Auditor Of State","Cass","John Andrew Schick","Libertarian","308"
"2022 General Election","Auditor Of State","Cass","Tera K. Klutz","Republican","6227"
"2022 General Election","Auditor Of State","Cass","Zenai Brooks","Democratic","2024"
"2022 General Election","Auditor Of State","Clark","John Andrew Schick","Libertarian","1333"
"2022 General Election","Auditor Of State","Clark","Tera K. Klutz","Republican","21729"
"2022 General Election","Auditor Of State","Clark","Zenai Brooks","Democratic","12810"
"2022 General Election","Auditor Of State","Clay","John Andrew Schick","Libertarian","277"
"2022 General Election","Auditor Of State","Clay","Tera K. Klutz","Republican","5783"
"2022 General Election","Auditor Of State","Clay","Zenai Brooks","Democratic","1512"
"2022 General Election","Auditor Of State","Clinton","John Andrew Schick","Libertarian","278"
"2022 General Election","Auditor Of State","Clinton","Tera K. Klutz","Republican","5451"
"2022 General Election","Auditor Of State","Clinton","Zenai Brooks","Democratic","1512"
"2022 General Election","Auditor Of State","Crawford","John Andrew Schick","Libertarian","138"
"2022 General Election","Auditor Of State","Crawford","Tera K. Klutz","Republican","2435"
"2022 General Election","Auditor Of State","Crawford","Zenai Brooks","Democratic","1006"
"2022 General Election","Auditor Of State","Daviess","John Andrew Schick","Libertarian","188"
"2022 General Election","Auditor Of State","Daviess","Tera K. Klutz","Republican","5734"
"2022 General Election","Auditor Of State","Daviess","Zenai Brooks","Democratic","1014"
"2022 General Election","Auditor Of State","Dearborn","John Andrew Schick","Libertarian","367"
"2022 General Election","Auditor Of State","Dearborn","Tera K. Klutz","Republican","11411"
"2022 General Election","Auditor Of State","Dearborn","Zenai Brooks","Democratic","2500"
"2022 General Election","Auditor Of State","Decatur","John Andrew Schick","Libertarian","391"
"2022 General Election","Auditor Of State","Decatur","Tera K. Klutz","Republican","6263"
"2022 General Election","Auditor Of State","Decatur","Zenai Brooks","Democratic","1282"
"2022 General Election","Auditor Of State","Dekalb","John Andrew Schick","Libertarian","406"
"2022 General Election","Auditor Of State","Dekalb","Tera K. Klutz","Republican","8581"
"2022 General Election","Auditor Of State","Dekalb","Zenai Brooks","Democratic","2618"
"2022 General Election","Auditor Of State","Delaware","John Andrew Schick","Libertarian","1037"
"2022 General Election","Auditor Of State","Delaware","Tera K. Klutz","Republican","17376"
"2022 General Election","Auditor Of State","Delaware","Zenai Brooks","Democratic","11407"
"2022 General Election","Auditor Of State","Dubois","John Andrew Schick","Libertarian","392"
"2022 General Election","Auditor Of State","Dubois","Tera K. Klutz","Republican","9544"
"2022 General Election","Auditor Of State","Dubois","Zenai Brooks","Democratic","3486"
"2022 General Election","Auditor Of State","Elkhart","John Andrew Schick","Libertarian","1149"
"2022 General Election","Auditor Of State","Elkhart","Tera K. Klutz","Republican","31078"
"2022 General Election","Auditor Of State","Elkhart","Zenai Brooks","Democratic","12298"
"2022 General Election","Auditor Of State","Fayette","John Andrew Schick","Libertarian","201"
"2022 General Election","Auditor Of State","Fayette","Tera K. Klutz","Republican","4674"
"2022 General Election","Auditor Of State","Fayette","Zenai Brooks","Democratic","1245"
"2022 General Election","Auditor Of State","Floyd","John Andrew Schick","Libertarian","821"
"2022 General Election","Auditor Of State","Floyd","Tera K. Klutz","Republican","15708"
