district,name,district_geoid,aland,awater
1,Congressional District 1,1801,2855085526,630825617
2,Congressional District 2,1802,11265258208,124855342
3,Congressional District 3,1803,11371176272,142834955
4,Congressional District 4,1804,15790126234,76553762
5,Congressional District 5,1805,5684423527,37694881
6,Congressional District 6,1806,8501172170,41242730
7,Congressional District 7,1807,716321895,16240664
8,Congressional District 8,1808,20969289578,312493531
9,Congressional District 9,1809,15635756514,159260501
