county,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,population_change_2020_2025,population_change_pct_2020_2025
Jefferson,33091,32935,32812,32971,33064,33279,188,0.5681
Jennings,27587,27510,27467,27630,27724,27622,35,0.1269
Johnson,162237,164330,165804,168405,171023,174262,12025,7.412
Knox,36253,35964,35854,35961,35757,35652,-601,-1.6578
Kosciusko,80152,80242,80624,80338,80769,80892,740,0.9232
LaGrange,40537,40516,40802,40943,41118,41305,768,1.8946
Lake,498943,499015,499630,500134,502497,504612,5669,1.1362
LaPorte,112279,112404,111617,111144,111349,111294,-985,-0.8773
Lawrence,45013,45038,45230,45044,45230,45568,555,1.233
Madison,130155,130524,130977,132031,133572,135088,4933,3.7901
Marion,976708,971373,974293,980327,990213,992196,15488,1.5857
Marshall,46064,46106,46321,46269,46538,46599,535,1.1614
Martin,9808,9802,9813,9863,9888,9856,48,0.4894
Miami,35907,34857,34211,34034,34465,34487,-1420,-3.9547
Monroe,140629,144658,144456,143548,142832,143345,2716,1.9313
Montgomery,37938,38018,38327,38692,38910,38954,1016,2.6781
Morgan,71842,72290,72326,73245,74045,74967,3125,4.3498
Newton,13787,13811,13828,14027,14087,14188,401,2.9085
Noble,47465,47385,47266,47501,47946,47937,472,0.9944
Ohio,5926,5983,6091,5998,6001,5994,68,1.1475
Orange,19845,19795,19611,19701,19801,19834,-11,-0.0554
Owen,21325,21408,21381,21587,21658,21886,561,2.6307
Parke,16153,16506,16257,16200,16456,16642,489,3.0273
Perry,19160,19098,18893,19210,19388,19389,229,1.1952
Pike,12246,12170,12120,12058,12074,12003,-243,-1.9843
Porter,173319,174457,174767,174845,175420,176049,2730,1.5751
Posey,25190,25160,25081,25024,25058,24988,-202,-0.8019
Pulaski,12519,12361,12434,12427,12433,12463,-56,-0.4473
Putnam,36696,37026,37107,37200,37758,37876,1180,3.2156
Randolph,24414,24418,24396,24356,24385,24438,24,0.0983
Ripley,28979,28993,28992,29241,29360,29434,455,1.5701
Rush,16765,16682,16649,16805,16752,16767,2,0.0119
St. Joseph,272686,272235,272478,273119,272936,272861,175,0.0642
Scott,24381,24414,24442,24687,24852,25053,672,2.7562
Shelby,45065,45086,45165,45266,45613,45882,817,1.8129
Spencer,19831,19855,19886,20014,20157,20061,230,1.1598
Starke,23397,23381,23237,23309,23406,23425,28,0.1197
Steuben,34452,34710,34716,34876,34788,34799,347,1.0072
Sullivan,20820,20783,20664,20714,20693,20831,11,0.0528
Switzerland,9740,9859,9975,9964,10035,10037,297,3.0493
Tippecanoe,186383,187402,188836,189448,189910,190456,4073,2.1853
Tipton,15389,15369,15304,15313,15371,15319,-70,-0.4549
Union,7085,7022,6982,6989,6934,6863,-222,-3.1334
Vanderburgh,180341,180098,179604,180246,181140,181995,1654,0.9172
Vermillion,15402,15408,15357,15339,15531,15488,86,0.5584
Vigo,106143,106083,106014,106086,106198,106512,369,0.3476
Wabash,30932,30888,30811,30700,30726,30713,-219,-0.708
Warren,8425,8449,8472,8497,8467,8474,49,0.5816
Warrick,64003,64634,65252,65986,66321,66803,2800,4.3748
Washington,28230,28125,28152,28185,28358,28383,153,0.542
Wayne,66517,66427,66238,66129,66336,66169,-348,-0.5232
Wells,28161,28157,28325,28648,28840,28883,722,2.5638
White,24674,24706,24836,25032,25168,25164,490,1.9859
Whitley,34337,34505,34630,34832,34932,35046,709,2.0648
