ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",67795,-0.0009,0.6484,0.3156,0.036,50809,0.356,0.644,0.3806,0.2425,0.0133,0.0299,0.0012,
"2",67932,0.0011,0.8296,0.1529,0.0175,49332,0.1675,0.8325,0.2973,0.5316,0.006,0.02,0.0013,
"3",67871,0.0002,0.6505,0.3215,0.0279,51112,0.4726,0.5274,0.1468,0.358,0.0085,0.023,0.001,
"4",67768,-0.0013,0.4422,0.5258,0.032,52999,0.8545,0.1455,0.0676,0.0296,0.0228,0.0184,0.0011,
"5",67317,-0.0079,0.4352,0.5295,0.0353,51105,0.8262,0.1738,0.0396,0.0574,0.0496,0.021,0.0017,
"6",68093,0.0035,0.6471,0.3165,0.0364,49380,0.559,0.441,0.1348,0.2693,0.0162,0.0273,0.0011,
"7",67968,0.0017,0.3972,0.5617,0.0411,52305,0.793,0.207,0.0878,0.0845,0.0107,0.0192,0.0012,
"8",68104,0.0037,0.5398,0.424,0.0361,56276,0.7387,0.2613,0.0634,0.1302,0.0476,0.0168,0.0017,
"9",68398,0.008,0.5062,0.458,0.0358,54236,0.7601,0.2399,0.0548,0.1457,0.0143,0.0213,0.0013,
"10",68098,0.0036,0.487,0.4788,0.0343,52462,0.7508,0.2492,0.1294,0.0783,0.016,0.0238,0.001,
"11",67282,-0.0084,0.2652,0.6995,0.0352,51639,0.8895,0.1105,0.0604,0.0076,0.0064,0.0244,0.0006,
"12",68365,0.0075,0.5073,0.4604,0.0323,53933,0.702,0.298,0.1488,0.0961,0.0377,0.019,0.0006,
"13",67259,-0.0088,0.2757,0.6822,0.0421,50492,0.8965,0.1035,0.0488,0.0202,0.011,0.0188,0.001,
"14",67265,-0.0087,0.7128,0.2666,0.0206,51716,0.3422,0.6578,0.1183,0.5186,0.0158,0.0208,0.0009,
