ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",67795,-0.0009,0.6826,0.2947,0.0226,50809,0.356,0.644,0.3806,0.2425,0.0133,0.0299,0.0012,
"2",67932,0.0011,0.8412,0.1445,0.0143,49332,0.1675,0.8325,0.2973,0.5316,0.006,0.02,0.0013,
"3",67871,0.0002,0.6684,0.3131,0.0184,51112,0.4726,0.5274,0.1468,0.358,0.0085,0.023,0.001,
"4",67768,-0.0013,0.4505,0.5309,0.0187,52999,0.8545,0.1455,0.0676,0.0296,0.0228,0.0184,0.0011,
"5",67317,-0.0079,0.409,0.573,0.018,51105,0.8262,0.1738,0.0396,0.0574,0.0496,0.021,0.0017,
"6",68093,0.0035,0.625,0.3538,0.0212,49380,0.559,0.441,0.1348,0.2693,0.0162,0.0273,0.0011,
"7",67968,0.0017,0.3683,0.6125,0.0191,52305,0.793,0.207,0.0878,0.0845,0.0107,0.0192,0.0012,
"8",68104,0.0037,0.5097,0.4739,0.0163,56276,0.7387,0.2613,0.0634,0.1302,0.0476,0.0168,0.0017,
"9",68398,0.008,0.5149,0.4668,0.0183,54236,0.7601,0.2399,0.0548,0.1457,0.0143,0.0213,0.0013,
"10",68098,0.0036,0.5023,0.4758,0.0219,52462,0.7508,0.2492,0.1294,0.0783,0.016,0.0238,0.001,
"11",67282,-0.0084,0.278,0.7004,0.0216,51639,0.8895,0.1105,0.0604,0.0076,0.0064,0.0244,0.0006,
"12",68365,0.0075,0.5343,0.4457,0.02,53933,0.702,0.298,0.1488,0.0961,0.0377,0.019,0.0006,
"13",67259,-0.0088,0.2582,0.7144,0.0274,50492,0.8965,0.1035,0.0488,0.0202,0.011,0.0188,0.001,
"14",67265,-0.0087,0.7212,0.263,0.0158,51716,0.3422,0.6578,0.1183,0.5186,0.0158,0.0208,0.0009,
"15",67941,0.0013,0.4099,0.577,0.0131,53686,0.7994,0.2006,0.1044,0.0452,0.0336,0.0153,0.0009,
"16",67731,-0.0018,0.232,0.7439,0.0241,52403,0.9063,0.0937,0.0545,0.0066,0.0046,0.0219,0.0009,
"17",67242,-0.009,0.2263,0.7482,0.0255,50856,0.8854,0.1146,0.075,0.0088,0.0079,0.0191,0.0004,
"18",68352,0.0073,0.1897,0.7766,0.0337,51616,0.8921,0.1079,0.0748,0.0061,0.0062,0.018,0.0007,
"19",67896,0.0006,0.4165,0.5662,0.0173,52202,0.8073,0.1927,0.0903,0.0566,0.0246,0.0194,0.0006,
"20",67777,-0.0012,0.352,0.6206,0.0275,52961,0.8616,0.1384,0.0582,0.0432,0.0083,0.0197,0.0011,
"21",67374,-0.0071,0.2601,0.7183,0.0215,48211,0.6934,0.3066,0.1829,0.094,0.0097,0.0229,0.0009,
"22",67393,-0.0068,0.1693,0.7921,0.0386,51000,0.86,0.14,0.0841,0.0129,0.0224,0.0174,0.0009,
"23",68325,0.0069,0.2261,0.7426,0.0312,52567,0.8274,0.1726,0.0895,0.0452,0.0125,0.0265,0.001,
"24",68483,0.0093,0.4107,0.5464,0.0429,47695,0.797,0.203,0.0466,0.0388,0.1,0.0131,0.0014,
"25",67357,-0.0073,0.4271,0.5218,0.0511,48016,0.8157,0.1843,0.038,0.0722,0.0537,0.0149,0.0013,
"26",67808,-0.0007,0.5809,0.3973,0.0218,57677,0.6413,0.3587,0.0632,0.0437,0.2367,0.0102,0.048,
"27",68038,0.0027,0.5033,0.4689,0.0278,52187,0.7304,0.2696,0.1224,0.0979,0.0248,0.0229,0.001,
"28",67230,-0.0092,0.2545,0.6692,0.0762,50324,0.9142,0.0858,0.0215,0.0233,0.0159,0.0197,0.0012,
"29",68223,0.0054,0.3521,0.5939,0.054,49871,0.859,0.141,0.044,0.043,0.0331,0.0159,0.0012,
"30",67417,-0.0065,0.3138,0.6525,0.0337,52418,0.83,0.17,0.0313,0.0941,0.0159,0.0246,0.0008,
"31",67916,0.0009,0.2508,0.7168,0.0324,53906,0.846,0.154,0.0403,0.0777,0.0108,0.0226,0.0007,
"32",68182,0.0048,0.4825,0.4728,0.0446,53192,0.7753,0.2247,0.0566,0.0753,0.0738,0.0142,0.0008,
"33",67932,0.0011,0.234,0.7314,0.0346,52910,0.9376,0.0624,0.0273,0.0081,0.0048,0.0181,0.0006,
"34",67720,-0.002,0.4944,0.4742,0.0315,55819,0.8005,0.1995,0.0374,0.1211,0.0187,0.0192,0.0014,
"35",67554,-0.0044,0.2934,0.659,0.0476,52543,0.9285,0.0715,0.0187,0.0171,0.0103,0.0207,0.0009,
