ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",67795,-0.0009,0.6809,0.303,0.016,50809,0.356,0.644,0.3806,0.2425,0.0133,0.0299,0.0012,
"2",67932,0.0011,0.8336,0.1551,0.0113,49332,0.1675,0.8325,0.2973,0.5316,0.006,0.02,0.0013,
"3",67871,0.0002,0.6554,0.3279,0.0167,51112,0.4726,0.5274,0.1468,0.358,0.0085,0.023,0.001,
"4",67768,-0.0013,0.4588,0.5224,0.0187,52999,0.8545,0.1455,0.0676,0.0296,0.0228,0.0184,0.0011,
"5",67317,-0.0079,0.4549,0.5275,0.0176,51105,0.8262,0.1738,0.0396,0.0574,0.0496,0.021,0.0017,
"6",68093,0.0035,0.6751,0.3062,0.0186,49380,0.559,0.441,0.1348,0.2693,0.0162,0.0273,0.0011,
"7",67968,0.0017,0.4254,0.5582,0.0164,52305,0.793,0.207,0.0878,0.0845,0.0107,0.0192,0.0012,
"8",68104,0.0037,0.5732,0.4116,0.0151,56276,0.7387,0.2613,0.0634,0.1302,0.0476,0.0168,0.0017,
"9",68398,0.008,0.5221,0.4613,0.0166,54236,0.7601,0.2399,0.0548,0.1457,0.0143,0.0213,0.0013,
"10",68098,0.0036,0.493,0.4858,0.0212,52462,0.7508,0.2492,0.1294,0.0783,0.016,0.0238,0.001,
"11",67282,-0.0084,0.2821,0.6994,0.0185,51639,0.8895,0.1105,0.0604,0.0076,0.0064,0.0244,0.0006,
"12",68365,0.0075,0.5331,0.4505,0.0164,53933,0.702,0.298,0.1488,0.0961,0.0377,0.019,0.0006,
"13",67259,-0.0088,0.2891,0.6875,0.0234,50492,0.8965,0.1035,0.0488,0.0202,0.011,0.0188,0.001,
"14",67265,-0.0087,0.7348,0.2536,0.0116,51716,0.3422,0.6578,0.1183,0.5186,0.0158,0.0208,0.0009,
"15",67941,0.0013,0.4167,0.5704,0.0129,53686,0.7994,0.2006,0.1044,0.0452,0.0336,0.0153,0.0009,
"16",67731,-0.0018,0.2593,0.724,0.0168,52403,0.9063,0.0937,0.0545,0.0066,0.0046,0.0219,0.0009,
