district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,62247,24540,37688,21067,14525,95,540,42,104,928,142,151,92,329,691,15544,46454,15762,30681,18365,10794,97,443,40,44,593,105,131,66,268,574,11453
2,63837,19175,44679,10417,32976,43,228,5,89,667,120,72,78,241,300,33719,46119,13616,32515,8611,23179,40,188,4,66,206,120,37,80,240,225,23464
3,64075,9998,54098,29122,23140,44,241,37,71,901,234,259,66,345,498,24114,48451,6705,41768,24159,16572,43,227,40,5,372,211,55,81,337,282,17030
4,67148,5703,61446,57540,1966,49,684,0,105,598,271,254,4,324,938,2566,52740,4054,48678,45977,1503,26,488,0,42,312,186,152,0,213,640,1812
5,65492,3641,61858,53582,2929,44,2060,94,216,1871,510,543,4,556,2599,4807,48748,2190,46549,41497,2292,43,1192,56,140,659,411,260,4,456,1451,2953
6,63417,9539,53828,34820,14553,75,676,47,113,2498,383,398,22,480,1074,17131,46401,5474,40903,29073,9826,69,442,44,73,735,303,213,28,400,656,10587
7,67169,6896,60308,51526,5984,57,366,20,195,1322,472,307,22,554,671,7359,50284,3478,46841,40708,4441,64,261,7,168,509,353,240,14,436,503,4985
8,64855,3699,61178,48714,8527,45,1567,68,209,1533,218,510,26,287,2072,10003,53542,2559,50982,41635,6432,39,1402,34,139,757,230,426,32,299,1826,7214
9,67544,4205,63304,51407,9061,41,577,4,182,1540,358,55,41,442,638,10665,53868,2746,51099,42768,6568,38,347,9,164,862,275,32,21,336,398,7443
10,67925,10983,56954,50112,4479,35,759,17,78,690,356,460,15,405,1217,5164,52881,7603,45286,40573,3192,18,676,9,0,279,317,197,22,356,870,3505
11,68310,4549,63799,62035,165,45,377,0,92,173,567,310,6,616,688,338,52245,2944,49340,48021,136,39,299,0,96,132,370,212,0,407,508,264
12,66872,11761,55117,44996,6423,63,1940,10,82,893,381,310,52,496,2247,7362,53331,7853,45464,38129,4704,57,1636,6,49,411,295,141,59,414,1780,5176
13,66656,3274,63377,59836,1494,20,813,2,70,361,685,186,6,710,970,1801,50245,1765,48472,45972,1198,26,576,0,65,83,509,93,7,540,676,1273
14,65833,10720,55063,22009,30478,13,384,9,176,1342,177,235,229,420,621,32043,50756,7433,43271,18360,23297,6,341,6,154,631,139,137,183,327,479,24110
15,68500,8914,59618,54358,2751,60,1245,0,158,527,196,278,14,270,1529,3300,54376,5972,48459,44682,2077,39,967,0,132,290,164,61,14,215,1025,2378
16,65255,3251,61954,60074,369,52,139,9,69,517,492,257,4,547,398,892,50373,1743,48594,47322,341,28,115,8,77,213,371,119,5,406,235,558
17,65328,4946,60384,58592,356,25,175,8,51,399,683,88,14,721,266,761,49353,2787,46569,45419,294,40,122,15,24,135,472,32,15,525,154,429
18,67174,4705,62451,60917,133,7,211,120,60,451,432,176,4,445,388,562,50432,2344,48095,47143,112,17,141,81,47,120,351,104,6,370,245,269
19,68187,6634,61549,54576,4491,19,1141,0,51,543,369,302,21,408,1439,5063,51099,4364,46732,41637,3502,9,860,0,41,340,255,100,15,277,962,3864
20,66066,4193,61900,57181,2709,34,167,9,34,1013,399,264,78,511,427,3791,50964,2443,48528,45050,2320,35,77,5,14,487,300,204,52,386,263,2854
21,62087,10760,51346,43235,5843,265,512,19,140,936,255,180,32,551,705,6798,44876,5766,39117,33739,3963,274,372,14,111,398,214,57,33,519,434,4397
22,65177,5597,59587,57336,495,24,388,0,27,587,394,321,4,420,709,1085,48888,3135,45758,44351,316,18,276,0,0,293,297,189,7,324,465,617
23,65619,6223,59396,55031,1649,96,289,90,100,1223,668,237,13,775,526,2884,50431,3439,46992,43817,1494,90,185,88,105,596,484,123,10,584,308,2100
24,70766,3724,67079,55031,4152,24,5232,12,125,1410,116,894,10,144,6124,5587,51374,2366,49012,41177,2820,24,3531,20,34,841,73,464,0,98,3995,3654
25,70597,2660,67952,58237,5424,17,2650,18,65,428,310,768,0,325,3423,5860,50318,1550,48766,42068,4000,4,1875,12,37,164,224,361,0,225,2237,4164
26,59955,3969,55975,45437,2566,47,6180,20,160,497,169,893,0,216,7073,3064,51718,2957,48770,40182,2030,48,5290,21,144,350,153,521,11,215,5810,2397
27,63724,6483,57244,48058,6892,44,462,0,334,799,326,225,4,374,716,7728,48641,3509,45123,39814,4063,45,435,0,39,275,262,143,0,305,572,4348
28,69229,1746,67495,62158,2963,9,700,10,118,857,335,371,0,345,1062,3812,51856,1041,50826,47771,1784,0,551,13,65,120,278,249,4,283,798,1910
29,68758,2598,66177,60043,2921,26,1802,0,129,625,325,325,20,369,2119,3564,51271,1487,49795,45443,2254,21,1270,0,54,318,277,132,12,309,1399,2599
30,66767,2888,63897,54417,6021,6,791,11,273,1426,613,210,143,762,1006,7535,51328,1774,49562,43281,4260,16,559,8,163,543,493,142,97,602,701,4903
31,66578,3059,63508,56273,3153,186,293,25,139,1069,1929,300,119,2234,593,4344,52135,1690,50439,45598,2127,125,294,29,50,301,1751,128,37,1913,422,2465
32,63005,3206,59656,51460,3684,0,2976,99,45,595,155,570,18,188,3548,4298,50167,1953,48081,42071,2946,12,2210,55,28,291,151,277,18,192,2487,3262
33,67718,2151,65566,63630,339,26,83,21,139,504,632,149,51,710,232,890,52530,1137,51391,50254,171,18,62,15,65,189,440,135,45,503,197,402
34,66610,2783,63825,54533,5126,22,644,5,360,1236,1597,232,62,1681,876,6421,55666,2017,53647,46734,4112,22,427,4,185,659,1240,195,68,1330,622,4838
35,67680,1449,66230,62038,948,135,590,13,151,990,1227,114,15,1378,700,1956,52480,781,51698,49192,692,35,450,0,80,355,808,92,9,853,508,1047
36,66348,3822,62529,51989,6506,130,263,7,83,1635,1645,77,211,1985,344,8352,52476,2094,50386,42828,5166,123,221,4,33,680,1092,20,205,1419,275,6061
37,65898,2541,63349,55238,3290,36,2765,19,108,756,373,796,4,415,3561,4052,46742,1403,45335,40603,2153,42,1420,25,44,428,286,358,0,331,1779,2563
38,67254,2423,64803,62827,604,17,178,10,137,559,322,153,0,339,326,1215,52518,1324,51186,49857,525,20,115,10,97,211,275,71,0,299,186,733
