statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
18,001,18001,Adams County,24626
18,003,18003,Allen County,278786
18,005,18005,Bartholomew County,57215
18,007,18007,Benton County,6431
18,009,18009,Blackford County,9102
18,011,18011,Boone County,54201
18,013,18013,Brown County,12942
18,015,18015,Carroll County,15939
18,017,18017,Cass County,26803
18,019,18019,Clark County,93883
18,021,18021,Clay County,20309
18,023,18023,Clinton County,21800
18,025,18025,Crawford County,8318
18,027,18027,Daviess County,22829
18,029,18029,Dearborn County,39744
18,031,18031,Decatur County,20026
18,033,18033,DeKalb County,33038
18,035,18035,Delaware County,90334
18,037,18037,Dubois County,31672
18,039,18039,Elkhart County,138883
18,041,18041,Fayette County,18117
18,043,18043,Floyd County,61805
18,045,18045,Fountain County,12839
18,047,18047,Franklin County,17871
18,049,18049,Fulton County,15314
18,051,18051,Gibson County,24872
18,053,18053,Grant County,51112
18,055,18055,Greene County,24179
18,057,18057,Hamilton County,256248
18,059,18059,Hancock County,63543
18,061,18061,Harrison County,30661
18,063,18063,Hendricks County,133319
18,065,18065,Henry County,38773
18,067,18067,Howard County,64023
18,069,18069,Huntington County,28511
18,071,18071,Jackson County,31841
18,073,18073,Jasper County,24814
18,075,18075,Jay County,14902
18,077,18077,Jefferson County,26156
18,079,18079,Jennings County,20923
18,081,18081,Johnson County,122122
18,083,18083,Knox County,27846
18,085,18085,Kosciusko County,59090
18,087,18087,LaGrange County,27349
18,089,18089,Lake County,369437
18,091,18091,LaPorte County,86195
18,093,18093,Lawrence County,35340
18,095,18095,Madison County,102162
18,097,18097,Marion County,661229
18,099,18099,Marshall County,33420
18,101,18101,Martin County,7654
18,103,18103,Miami County,27943
18,105,18105,Monroe County,111624
18,107,18107,Montgomery County,28791
18,109,18109,Morgan County,56159
18,111,18111,Newton County,10770
18,113,18113,Noble County,34246
18,115,18115,Ohio County,4785
18,117,18117,Orange County,15158
18,119,18119,Owen County,17168
18,121,18121,Parke County,12700
18,123,18123,Perry County,15235
18,125,18125,Pike County,9480
18,127,18127,Porter County,134796
18,129,18129,Posey County,19638
18,131,18131,Pulaski County,9539
18,133,18133,Putnam County,29640
18,135,18135,Randolph County,18471
18,137,18137,Ripley County,22095
18,139,18139,Rush County,12888
18,141,18141,St. Joseph County,199734
18,143,18143,Scott County,18609
18,145,18145,Shelby County,34252
18,147,18147,Spencer County,15429
18,149,18149,Starke County,17868
18,151,18151,Steuben County,27513
18,153,18153,Sullivan County,16814
18,155,18155,Switzerland County,7527
18,157,18157,Tippecanoe County,135863
18,159,18159,Tipton County,12061
18,161,18161,Union County,5466
18,163,18163,Vanderburgh County,137510
18,165,18165,Vermillion County,12033
18,167,18167,Vigo County,82716
18,169,18169,Wabash County,24168
18,171,18171,Warren County,6624
18,173,18173,Warrick County,49362
18,175,18175,Washington County,21690
18,177,18177,Wayne County,50286
18,179,18179,Wells County,21027
18,181,18181,White County,18060
18,183,18183,Whitley County,26643
