district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,108205,71.78,11.36,13.26,0.04,1.77,0.01,0.21
2,District 2,93224,41.79,22.01,32.92,0.17,1.63,0.05,0.07
3,District 3,97818,36.01,49.08,12.61,0.08,0.45,0.05,0.16
4,District 4,106615,76.75,10.24,9.92,0.05,0.94,0.01,0.15
5,District 5,102836,89.79,2.13,6.01,0.06,0.6,0.0,0.11
6,District 6,103597,87.47,3.07,6.7,0.05,1.03,0.0,0.14
7,District 7,100124,91.35,1.87,4.3,0.02,0.83,0.01,0.18
8,District 8,100454,91.97,1.54,4.47,0.07,0.23,0.02,0.14
9,District 9,97382,88.24,3.25,5.48,0.03,0.85,0.0,0.19
10,District 10,97119,69.4,16.51,10.01,0.12,1.19,0.09,0.2
11,District 11,95644,83.71,6.19,5.07,0.1,2.15,0.05,0.34
12,District 12,88932,77.67,5.46,13.41,0.34,1.0,0.07,0.08
13,District 13,98901,93.89,0.37,3.8,0.03,0.3,0.09,0.22
14,District 14,92156,72.65,16.31,5.96,0.04,2.84,0.03,0.22
15,District 15,102511,83.67,5.96,3.8,0.03,4.11,0.05,0.2
16,District 16,105185,85.54,4.96,4.29,0.1,2.06,0.12,0.3
17,District 17,103770,91.18,2.42,2.84,0.14,0.41,0.06,0.07
18,District 18,99650,90.1,1.78,5.55,0.13,0.26,0.1,0.12
19,District 19,98626,88.74,3.51,4.64,0.07,0.51,0.04,0.27
20,District 20,100912,88.6,3.01,3.44,0.06,3.25,0.01,0.1
21,District 21,108297,85.78,6.21,3.83,0.04,1.5,0.01,0.18
22,District 22,97202,85.85,5.66,5.78,0.06,1.37,0.0,0.11
23,District 23,102936,86.75,2.25,3.58,0.08,5.1,0.02,0.27
24,District 24,103092,83.17,7.8,3.92,0.13,2.69,0.02,0.27
25,District 25,106475,86.36,6.24,3.33,0.15,0.5,0.02,0.19
26,District 26,108796,89.51,4.14,2.54,0.06,0.67,0.01,0.21
27,District 27,104026,92.68,3.01,1.51,0.05,0.57,0.0,0.25
28,District 28,104558,84.65,9.43,3.04,0.05,0.91,0.02,0.04
29,District 29,93857,70.72,15.59,5.36,0.04,5.83,0.03,0.3
30,District 30,97460,62.87,26.34,5.19,0.03,2.13,0.02,0.49
31,District 31,97191,83.29,6.72,3.58,0.01,4.07,0.12,0.06
32,District 32,96541,77.57,10.39,5.6,0.04,4.29,0.0,0.17
33,District 33,89980,48.97,37.73,7.58,0.04,1.77,0.03,0.77
34,District 34,92698,31.02,56.32,7.31,0.16,1.19,0.0,0.37
35,District 35,91006,74.4,15.23,6.34,0.03,1.38,0.03,0.26
36,District 36,93145,78.94,6.92,4.76,0.11,6.27,0.14,0.43
37,District 37,106418,94.3,1.6,1.27,0.01,1.01,0.0,0.16
38,District 38,107319,89.09,4.87,2.18,0.13,1.29,0.05,0.21
39,District 39,101805,94.39,1.47,1.75,0.03,0.33,0.0,0.12
40,District 40,106242,86.11,3.71,3.64,0.04,3.83,0.01,0.2
41,District 41,99887,90.17,2.11,3.59,0.04,2.5,0.02,0.17
42,District 42,105061,96.09,0.67,1.25,0.08,0.29,0.01,0.28
43,District 43,104201,96.04,0.41,1.43,0.06,0.23,0.02,0.15
44,District 44,100589,94.35,0.69,2.46,0.06,0.61,0.02,0.12
45,District 45,105428,85.75,7.0,3.47,0.01,0.92,0.04,0.32
46,District 46,99058,69.32,17.0,8.76,0.1,1.34,0.03,0.35
47,District 47,102572,93.17,2.36,1.98,0.02,0.41,0.03,0.15
48,District 48,105004,94.48,1.16,2.37,0.1,0.31,0.03,0.09
49,District 49,104132,87.99,6.05,1.94,0.13,0.73,0.01,0.12
50,District 50,102399,89.16,5.1,1.76,0.08,1.1,0.05,0.1
