district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,737516,118143,619360,460428,132675,497,8153,124,1217,9521,3263,2806,692,4452,10955,142853,567927,79558,488357,373986,97398,402,6459,109,788,4730,2506,1375,593,3501,7834,102727
2,722839,69741,653143,576767,44520,733,7221,412,1552,13527,4694,3582,149,5570,10804,58226,543023,38228,504855,454005,32467,744,5314,327,994,5211,3617,2025,170,4530,7335,37842
3,742592,42628,699968,617873,42321,331,16091,383,1924,13023,4064,3221,689,5087,19304,56041,553106,23634,529461,476258,30419,274,9888,358,1228,5432,3186,1816,584,4045,11704,36432
4,739562,43756,695780,628764,33018,419,15709,84,1967,7031,3991,4410,348,4762,20117,40410,566242,24913,541297,496245,22758,365,12007,62,1013,3145,3089,2238,347,3803,14245,26269
5,749344,31427,717925,630548,38670,625,20244,192,1700,11263,8892,5145,655,10172,25390,50580,575099,19376,555732,496809,28614,448,13871,148,830,5254,6844,2458,476,7769,16329,34326
6,730172,33227,696928,613334,34682,366,24705,206,2173,12054,4174,4811,337,4877,29527,47071,549948,17913,532021,482389,23346,348,14405,182,1256,4472,3281,1929,307,3936,16333,28135
7,688988,78107,610867,342010,226041,425,10087,196,3809,19430,2669,3819,2380,5474,13904,247844,514160,36963,477194,286492,163553,353,8355,178,2253,9619,2239,2290,1861,4451,10644,175032
8,744279,19806,724464,669351,26494,603,5151,339,1675,9506,8337,2618,400,9340,7773,36400,578377,11059,567307,528996,20202,527,4074,163,767,4033,6670,1492,381,7578,5570,24616
9,741739,25528,716233,667049,19267,305,8454,166,1934,8928,5949,3853,453,6706,12306,28649,583154,14417,568751,534150,15004,250,6631,138,1191,3883,4789,2501,341,5379,9134,19221
