district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,137040,21577,115480,93500,16171,73,2264,10,255,1861,547,674,117,736,2961,18141,108205,14351,93865,77670,12292,44,1912,6,223,910,432,273,116,592,2182,13316
2,123590,45178,78403,45883,28380,158,1876,47,161,1312,229,229,140,527,2107,29832,93224,30690,62525,38962,20517,158,1516,44,67,782,184,175,128,470,1692,21427
3,130637,18340,112294,42126,66202,87,499,46,254,2012,451,333,287,825,829,68503,97818,12335,85481,35227,48008,80,437,46,160,749,414,88,254,748,527,49011
4,134696,15467,119224,99429,14684,76,1244,17,267,2190,703,573,51,830,1817,16924,106615,10574,96045,81832,10918,56,1006,13,162,1153,575,291,43,674,1297,12116
5,131731,9398,122346,116002,2956,94,843,9,174,971,844,424,12,950,1269,3941,102836,6181,96662,92338,2187,63,621,4,114,490,569,257,4,637,880,2681
6,136901,10948,125935,117948,3684,68,1428,0,162,896,986,767,6,1061,2171,4590,103597,6946,96644,90616,3182,49,1072,0,140,557,687,348,5,740,1418,3746
7,136217,8627,127581,120219,2922,19,1392,36,286,1116,758,765,5,782,2216,4061,100124,4302,95828,91466,1876,22,832,12,184,380,605,415,0,627,1296,2252
8,131300,7819,123486,117917,1991,61,432,26,147,1586,879,322,112,1052,754,3690,100454,4493,95957,92388,1547,69,233,25,137,603,686,193,72,827,426,2220
9,129802,9043,120816,111834,3727,22,1148,14,214,2373,773,711,8,806,1858,6085,97382,5338,92103,85931,3163,31,824,4,185,755,614,523,22,669,1347,3949
10,128407,17505,110902,80525,23113,119,1480,120,318,3849,667,699,59,840,2165,27019,97119,9724,87396,67401,16035,118,1151,85,190,1357,533,500,70,717,1638,17459
11,126524,9249,117225,100568,7919,120,2977,94,537,3427,545,952,4,674,3942,11326,95644,4847,90774,80062,5924,96,2057,52,323,1326,430,447,8,536,2517,7239
12,125936,23237,102725,90680,7118,294,1085,59,181,1942,614,745,40,948,1831,9120,88932,11923,77028,69075,4859,306,889,65,67,928,444,377,32,782,1266,5825
13,132869,7143,125732,122318,476,40,477,125,224,1181,633,248,0,674,726,1671,98901,3759,95152,92861,366,33,297,88,216,591,492,188,14,537,485,985
14,130285,10250,120006,89089,21551,29,5207,29,559,2573,554,259,312,893,5457,24409,92156,5489,86652,66951,15034,36,2617,31,199,1003,438,113,257,736,2725,16279
15,136661,7165,129489,108870,8440,38,6739,53,255,3302,637,920,195,867,7650,11947,102511,3897,98585,85766,6106,27,4212,47,207,1063,495,551,154,671,4752,7307
16,136540,7413,129153,114083,6770,110,2788,109,403,2468,1080,1010,85,1273,3809,9314,105185,4515,100696,89974,5221,107,2165,123,311,1266,852,463,66,1021,2639,6568
17,132267,5000,127267,118130,3617,222,450,58,263,1433,2483,492,119,2824,942,5169,103770,2946,100824,94622,2507,150,422,66,77,472,2215,252,41,2406,674,3020
18,129306,9979,119295,113180,1977,126,395,100,121,1631,1393,411,23,1535,807,3653,99650,5531,94071,89781,1769,125,264,98,119,767,998,214,15,1134,477,2552
19,134707,8146,126565,116285,4704,97,749,40,458,3015,716,591,51,870,1346,7782,98626,4579,94055,87521,3465,66,503,38,270,1287,584,358,47,703,866,4801
20,133362,5553,127855,115528,4305,69,4490,0,233,1423,495,1354,30,593,5845,5764,100912,3468,97477,89408,3035,60,3280,9,103,653,396,545,16,472,3826,3706
21,142780,6712,136061,118916,9611,37,2425,9,436,2974,838,581,135,1016,3006,12727,108297,4145,104141,92896,6724,46,1626,11,190,1465,652,377,97,800,2004,8293
22,129241,10313,118924,105079,8854,66,1808,6,560,1268,626,674,10,701,2497,10128,97202,5622,91583,83450,5500,54,1335,4,111,421,488,271,0,543,1607,5911
23,125977,5395,120592,108328,2868,65,6108,21,281,845,1048,984,7,1123,7077,3716,102936,3689,99240,89302,2320,85,5246,25,273,546,758,596,18,860,5841,2892
24,137022,6408,130616,109981,11892,157,4003,10,590,2226,562,788,238,957,4786,14430,103092,4041,99047,85738,8040,137,2778,17,277,855,453,361,235,826,3134,9220
25,135939,6372,129557,114509,8074,160,684,26,312,2339,2986,207,247,3393,891,10658,106475,3543,102936,91954,6641,156,529,19,198,1086,2027,87,234,2416,618,7961
26,134600,4297,130303,117957,5859,156,1062,35,420,1944,2418,344,108,2682,1406,7911,108796,2759,106037,97386,4501,60,730,14,225,904,1847,261,109,2016,991,5514
27,132869,3083,129777,121055,3601,41,746,20,415,2469,732,550,176,949,1296,6246,104026,1568,102452,96407,3134,51,597,0,265,999,597,233,190,838,830,4323
28,137596,6691,130887,112628,12910,51,1121,35,92,2404,771,682,0,823,1876,15300,104558,3179,101373,88508,9857,49,949,22,45,737,615,387,23,689,1409,10610
29,127047,8961,118035,84901,20951,33,7692,12,332,1867,454,1246,572,1059,8866,23359,93857,5028,88783,66371,14633,39,5473,25,281,815,321,589,309,669,5996,15766
30,125308,10143,115167,72368,34493,50,2898,17,827,3172,357,740,152,570,3662,37792,97460,5055,92410,61274,25672,29,2080,21,473,1777,348,481,146,533,2581,27630
31,132120,6250,125882,106900,8559,21,6110,151,121,1889,362,1697,23,406,7792,10522,97191,3481,93724,80949,6534,11,3959,114,57,1003,281,796,20,312,4746,7574
32,133226,9731,123470,97318,14811,50,6308,6,339,2437,922,1137,134,1108,7433,17394,96541,5405,91126,74884,10034,43,4142,0,164,632,758,392,88,888,4528,10763
33,122620,14624,107923,54287,45481,48,2052,23,1138,3128,359,943,467,838,3002,49001,89980,6817,83098,44062,33949,33,1590,27,697,1676,296,457,319,616,2051,35886
34,130322,14364,115947,34768,73208,135,1159,42,877,4044,291,873,817,1224,1955,78107,92698,6773,85934,28753,52211,146,1099,0,347,1998,233,568,779,1135,1591,54975
35,125185,12799,112421,85072,21594,41,1463,26,216,2998,567,539,125,733,2008,24654,91006,5766,85307,67708,13860,25,1256,31,234,1607,402,247,115,542,1509,15488
36,124521,7871,116614,88657,10241,125,11866,118,755,3146,499,1283,37,660,13144,13411,93145,4432,88714,73530,6449,107,5844,129,403,1378,363,532,37,507,6375,7833
37,137939,2249,135712,128580,2415,22,1614,7,279,955,907,867,14,941,2483,3394,106418,1348,105075,100350,1706,13,1078,4,169,637,746,322,26,780,1396,2376
38,135716,3536,132179,119658,6152,116,1578,69,655,2287,849,607,212,1177,2185,8651,107319,2335,104973,95608,5230,136,1388,57,229,1139,639,354,197,972,1742,6566
39,133004,3729,129265,124050,1665,71,386,13,246,848,1507,472,28,1607,855,2539,101805,1778,100026,96089,1501,35,338,4,118,411,1263,219,48,1349,560,1962
40,127011,5393,121622,107465,4586,29,5013,29,296,1616,748,1729,129,906,6743,6332,106242,3867,102366,91481,3941,41,4074,8,216,687,620,1194,116,777,5263,4744
41,133491,7585,125924,115641,3171,62,3793,15,320,1537,666,751,28,757,4549,4736,99887,3584,96285,90069,2107,42,2494,16,169,489,567,344,15,625,2841,2611
42,136115,2456,133715,129680,1037,88,318,5,386,782,1096,279,23,1204,597,1842,105061,1311,103787,100950,703,82,308,14,299,328,902,155,32,1015,463,1066
43,133339,2527,130765,126660,609,107,417,28,353,761,1591,182,56,1757,599,1426,104201,1490,102680,100078,426,65,235,25,154,230,1308,102,56,1430,337,709
44,129444,5412,124028,119437,792,75,769,27,228,914,1157,607,4,1236,1375,1709,100589,2472,98126,94905,693,65,617,16,120,410,878,402,8,951,1024,1111
45,135754,6715,129074,112494,9571,15,1161,40,648,3693,830,524,113,961,1703,13354,105428,3660,101797,90409,7383,8,966,46,336,1716,656,241,24,692,1220,9127
46,125675,16475,109307,78940,22713,128,1522,21,561,3594,858,567,296,1321,2101,26627,99058,8674,90408,68670,16837,103,1328,33,344,1787,698,366,200,1045,1700,18861
47,132750,3685,129030,121332,3453,32,764,42,203,1677,844,532,136,1009,1278,5289,102572,2035,100508,95566,2421,23,424,29,153,750,660,375,119,798,786,3286
