district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,567927,65.85,17.15,14.01,0.07,1.14,0.02,0.14
2,District 2,543023,83.61,5.98,7.04,0.14,0.98,0.06,0.18
3,District 3,553106,86.11,5.5,4.27,0.05,1.79,0.06,0.22
4,District 4,566242,87.64,4.02,4.4,0.06,2.12,0.01,0.18
5,District 5,575099,86.39,4.98,3.37,0.08,2.41,0.03,0.14
6,District 6,549948,87.72,4.25,3.26,0.06,2.62,0.03,0.23
7,District 7,514160,55.72,31.81,7.19,0.07,1.62,0.03,0.44
8,District 8,578377,91.46,3.49,1.91,0.09,0.7,0.03,0.13
9,District 9,583154,91.6,2.57,2.47,0.04,1.14,0.02,0.2
