district,CVAP_TOT24
1,46805
2,45545
3,48737
4,52890
5,48413
6,46675
7,50223
8,53642
9,53829
10,52845
11,52341
12,53383
13,51058
14,50474
15,54351
16,50413
17,49571
18,50132
19,51149
20,50648
21,45084
22,48819
23,50478
24,52148
25,49831
26,51566
27,48045
28,52114
29,51478
30,50823
31,52214
32,50034
33,52566
34,55684
35,52694
36,52209
37,46157
38,52814
39,50347
40,51436
41,47963
42,52147
43,52045
44,52996
45,53465
46,53165
47,52434
48,46851
49,44509
50,52603
51,50001
52,51128
53,55393
54,53223
55,51663
56,50786
57,55195
58,50088
59,46500
60,51912
61,56527
62,54054
63,49315
64,50793
65,53307
66,51854
67,53057
68,53070
69,49050
70,51515
71,52868
72,53193
73,51005
74,51863
75,52459
76,52816
77,50559
78,53245
79,47786
80,43754
81,50043
82,50307
83,51183
84,49688
85,49501
86,51071
87,50893
88,51043
89,43053
90,46370
91,45143
92,42958
93,45542
94,40528
95,44847
96,53447
97,43586
98,45403
99,40678
100,49831
