district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,46454,39.53,23.24,33.93,0.21,0.95,0.09,0.09
2,District 2,46119,18.67,50.26,29.52,0.09,0.41,0.01,0.14
3,District 3,48451,49.86,34.2,13.84,0.09,0.47,0.08,0.01
4,District 4,52740,87.18,2.85,7.69,0.05,0.93,0.0,0.08
5,District 5,48748,85.13,4.7,4.49,0.09,2.45,0.11,0.29
6,District 6,46401,62.66,21.18,11.8,0.15,0.95,0.09,0.16
7,District 7,50284,80.96,8.83,6.92,0.13,0.52,0.01,0.33
8,District 8,53542,77.76,12.01,4.78,0.07,2.62,0.06,0.26
9,District 9,53868,79.39,12.19,5.1,0.07,0.64,0.02,0.3
10,District 10,52881,76.73,6.04,14.38,0.03,1.28,0.02,0.0
11,District 11,52245,91.92,0.26,5.63,0.07,0.57,0.0,0.18
12,District 12,53331,71.5,8.82,14.73,0.11,3.07,0.01,0.09
13,District 13,50245,91.5,2.38,3.51,0.05,1.15,0.0,0.13
14,District 14,50756,36.17,45.9,14.64,0.01,0.67,0.01,0.3
15,District 15,54376,82.17,3.82,10.98,0.07,1.78,0.0,0.24
16,District 16,50373,93.94,0.68,3.46,0.06,0.23,0.02,0.15
17,District 17,49353,92.03,0.6,5.65,0.08,0.25,0.03,0.05
18,District 18,50432,93.48,0.22,4.65,0.03,0.28,0.16,0.09
19,District 19,51099,81.48,6.85,8.54,0.02,1.68,0.0,0.08
20,District 20,50964,88.4,4.55,4.79,0.07,0.15,0.01,0.03
21,District 21,44876,75.18,8.83,12.85,0.61,0.83,0.03,0.25
22,District 22,48888,90.72,0.65,6.41,0.04,0.56,0.0,0.0
23,District 23,50431,86.89,2.96,6.82,0.18,0.37,0.17,0.21
24,District 24,51374,80.15,5.49,4.61,0.05,6.87,0.04,0.07
25,District 25,50318,83.6,7.95,3.08,0.01,3.73,0.02,0.07
26,District 26,51718,77.69,3.93,5.72,0.09,10.23,0.04,0.28
27,District 27,48641,81.85,8.35,7.21,0.09,0.89,0.0,0.08
28,District 28,51856,92.12,3.44,2.01,0.0,1.06,0.03,0.13
29,District 29,51271,88.63,4.4,2.9,0.04,2.48,0.0,0.11
30,District 30,51328,84.32,8.3,3.46,0.03,1.09,0.02,0.32
31,District 31,52135,87.46,4.08,3.24,0.24,0.56,0.06,0.1
32,District 32,50167,83.86,5.87,3.89,0.02,4.41,0.11,0.06
33,District 33,52530,95.67,0.33,2.16,0.03,0.12,0.03,0.12
34,District 34,55666,83.95,7.39,3.62,0.04,0.77,0.01,0.33
35,District 35,52480,93.73,1.32,1.49,0.07,0.86,0.0,0.15
36,District 36,52476,81.61,9.84,3.99,0.23,0.42,0.01,0.06
37,District 37,46742,86.87,4.61,3.0,0.09,3.04,0.05,0.09
