county,countyfp20,district_num,district_geoid,area_weight
Adams,001,14,18014,0.000000000000
Adams,001,19,18019,1.000000000000
Allen,003,13,18013,0.000000000000
Allen,003,14,18014,0.527770422559
Allen,003,15,18015,0.122659989294
Allen,003,16,18016,0.216711928215
Allen,003,17,18017,0.000000000000
Allen,003,19,18019,0.132857659932
Bartholomew,005,41,18041,1.000000000000
Bartholomew,005,42,18042,0.000000000000
Bartholomew,005,44,18044,0.000000000000
Benton,007,5,18005,0.000000000000
Benton,007,6,18006,1.000000000000
Benton,007,23,18023,0.000000000000
Blackford,009,17,18017,0.000000000000
Blackford,009,19,18019,1.000000000000
Blackford,009,26,18026,0.000000000000
Boone,011,7,18007,0.947807389125
Boone,011,21,18021,0.000000000000
Boone,011,29,18029,0.052192610875
Boone,011,30,18030,0.000000000000
Brown,013,37,18037,0.000000000000
Brown,013,40,18040,0.000000000000
Brown,013,41,18041,0.000000000000
Brown,013,44,18044,1.000000000000
Carroll,015,5,18005,0.000000000000
Carroll,015,7,18007,0.000000000000
Carroll,015,18,18018,0.000000000000
Carroll,015,22,18022,1.000000000000
Cass,017,5,18005,0.000000000000
Cass,017,18,18018,1.000000000000
Cass,017,22,18022,0.000000000000
Clark,019,43,18043,0.000000001271
Clark,019,45,18045,0.999999860929
Clark,019,47,18047,0.000000137799
Clay,021,23,18023,0.000000000000
Clay,021,37,18037,0.000000000000
Clay,021,38,18038,1.000000000000
Clay,021,39,18039,0.000000000000
Clinton,023,7,18007,1.000000000000
Clinton,023,18,18018,0.000000000000
Clinton,023,21,18021,0.000000000000
Clinton,023,22,18022,0.000000000000
Crawford,025,44,18044,0.000000000000
Crawford,025,47,18047,0.000000000000
Crawford,025,48,18048,1.000000000000
Daviess,027,39,18039,1.000000000000
Daviess,027,48,18048,0.000000000000
DeKalb,033,13,18013,0.294883597079
DeKalb,033,14,18014,0.705116402921
DeKalb,033,15,18015,0.000000000000
Dearborn,029,27,18027,0.000000000000
Dearborn,029,42,18042,0.000000000000
Dearborn,029,43,18043,1.000000000000
Decatur,031,41,18041,0.000000000000
Decatur,031,42,18042,1.000000000000
Delaware,035,17,18017,0.000000000000
Delaware,035,19,18019,0.000000000000
Delaware,035,25,18025,0.000000000000
Delaware,035,26,18026,1.000000000000
Delaware,035,27,18027,0.000000000000
Dubois,037,39,18039,0.000000000000
Dubois,037,44,18044,0.000000000000
Dubois,037,48,18048,1.000000000000
Dubois,037,50,18050,0.000000000000
Elkhart,039,9,18009,0.268674348031
Elkhart,039,11,18011,0.201476448259
Elkhart,039,12,18012,0.529849203710
Elkhart,039,13,18013,0.000000000000
Fayette,041,27,18027,0.000000000000
Fayette,041,42,18042,1.000000000000
Floyd,043,45,18045,0.058219228137
Floyd,043,47,18047,0.941780771863
Fountain,045,23,18023,1.000000000000
Franklin,047,27,18027,0.518371029287
Franklin,047,42,18042,0.481628970713
Franklin,047,43,18043,0.000000000000
Fulton,049,5,18005,0.000000006841
Fulton,049,8,18008,0.000000000000
Fulton,049,17,18017,0.000000000000
Fulton,049,18,18018,0.999999993159
Gibson,051,39,18039,0.000036767303
Gibson,051,48,18048,0.999963232697
Gibson,051,49,18049,0.000000000000
Gibson,051,50,18050,0.000000000000
Grant,053,17,18017,0.999999968573
Grant,053,18,18018,0.000000031427
Grant,053,19,18019,0.000000000000
Grant,053,21,18021,0.000000000000
Grant,053,25,18025,0.000000000000
Grant,053,26,18026,0.000000000000
Greene,055,38,18038,0.000000000000
Greene,055,39,18039,1.000000000000
Greene,055,40,18040,0.000000000000
Greene,055,44,18044,0.000000000000
Hamilton,057,7,18007,0.000000000000
Hamilton,057,20,18020,0.341879069861
Hamilton,057,21,18021,0.259352696951
Hamilton,057,25,18025,0.203938329869
Hamilton,057,28,18028,0.000000003435
Hamilton,057,29,18029,0.067250813047
Hamilton,057,30,18030,0.000000000000
Hamilton,057,31,18031,0.127579086837
Hancock,059,25,18025,0.000000000000
Hancock,059,27,18027,0.000000000000
Hancock,059,28,18028,0.999999992332
