county,countyfp20,district_num,district_geoid,area_weight
Adams,001,3,1803,1.000000000000
Allen,003,3,1803,1.000000000000
Bartholomew,005,6,1806,0.729675496156
Bartholomew,005,9,1809,0.270324503844
Benton,007,4,1804,1.000000000000
Blackford,009,3,1803,1.000000000000
Blackford,009,5,1805,0.000000000000
Boone,011,4,1804,1.000000000000
Boone,011,5,1805,0.000000000000
Boone,011,7,1807,0.000000000000
Brown,013,4,1804,0.000000000000
Brown,013,6,1806,0.000000000000
Brown,013,9,1809,1.000000000000
Carroll,015,4,1804,1.000000000000
Carroll,015,5,1805,0.000000000000
Cass,017,2,1802,0.574267660062
Cass,017,4,1804,0.425732339938
Cass,017,5,1805,0.000000000000
Clark,019,9,1809,1.000000000000
Clay,021,4,1804,0.000000000000
Clay,021,8,1808,1.000000000000
Clinton,023,4,1804,1.000000000000
Clinton,023,5,1805,0.000000000000
Crawford,025,8,1808,1.000000000000
Crawford,025,9,1809,0.000000000000
Daviess,027,8,1808,1.000000000000
DeKalb,033,3,1803,1.000000000000
Dearborn,029,9,1809,1.000000000000
Decatur,031,6,1806,0.000000000000
Decatur,031,9,1809,1.000000000000
Delaware,035,3,1803,0.000000000000
Delaware,035,5,1805,1.000000000000
Delaware,035,6,1806,0.000000000000
Dubois,037,8,1808,1.000000000000
Elkhart,039,2,1802,1.000000000000
Elkhart,039,3,1803,0.000000000000
Fayette,041,6,1806,1.000000000000
Fayette,041,9,1809,0.000000000000
Floyd,043,9,1809,1.000000000000
Fountain,045,4,1804,0.449689940251
Fountain,045,8,1808,0.550310059749
Franklin,047,6,1806,0.000000000000
Franklin,047,9,1809,1.000000000000
Fulton,049,2,1802,1.000000000000
Gibson,051,8,1808,1.000000000000
Grant,053,2,1802,0.000000000000
Grant,053,3,1803,0.000000000000
Grant,053,5,1805,1.000000000000
Greene,055,8,1808,1.000000000000
Greene,055,9,1809,0.000000000000
Hamilton,057,4,1804,0.000000000000
Hamilton,057,5,1805,0.999999996565
Hamilton,057,6,1806,0.000000003435
Hamilton,057,7,1807,0.000000000000
Hancock,059,5,1805,0.000000000000
Hancock,059,6,1806,0.999999992332
Hancock,059,7,1807,0.000000007668
Harrison,061,8,1808,0.000000000139
Harrison,061,9,1809,0.999999999861
Hendricks,063,4,1804,1.000000000000
Hendricks,063,6,1806,0.000000000000
Hendricks,063,7,1807,0.000000000000
Henry,065,5,1805,0.000000002232
Henry,065,6,1806,0.999999997768
Howard,067,2,1802,0.000000000000
Howard,067,4,1804,0.038558850913
Howard,067,5,1805,0.961441149087
Huntington,069,2,1802,0.000000000000
Huntington,069,3,1803,1.000000000000
Huntington,069,5,1805,0.000000000000
Jackson,071,9,1809,1.000000000000
Jasper,073,1,1801,0.000000000000
Jasper,073,2,1802,0.000000000000
Jasper,073,4,1804,1.000000000000
Jay,075,3,1803,1.000000000000
Jay,075,5,1805,0.000000000000
Jefferson,077,9,1809,1.000000000000
Jennings,079,6,1806,0.000000000000
Jennings,079,9,1809,1.000000000000
Johnson,081,4,1804,0.000000000000
Johnson,081,6,1806,1.000000000000
Johnson,081,9,1809,0.000000000000
Knox,083,8,1808,1.000000000000
Kosciusko,085,2,1802,0.808350080706
Kosciusko,085,3,1803,0.191649919294
LaGrange,087,2,1802,0.000000000000
LaGrange,087,3,1803,1.000000000000
LaPorte,091,1,1801,0.322438358958
LaPorte,091,2,1802,0.677561641042
Lake,089,1,1801,0.999999999786
Lake,089,4,1804,0.000000000214
Lawrence,093,8,1808,0.000000000000
Lawrence,093,9,1809,1.000000000000
Madison,095,5,1805,1.000000000000
Madison,095,6,1806,0.000000000000
Marion,097,4,1804,0.000000031297
Marion,097,5,1805,0.000000000000
Marion,097,6,1806,0.297731932754
Marion,097,7,1807,0.702268035949
Marshall,099,2,1802,1.000000000000
Martin,101,8,1808,1.000000000000
Martin,101,9,1809,0.000000000000
Miami,103,2,1802,1.000000000000
Miami,103,5,1805,0.000000000000
Monroe,105,4,1804,0.000000000000
Monroe,105,8,1808,0.000000050935
Monroe,105,9,1809,0.999999949065
Montgomery,107,4,1804,1.000000000000
Montgomery,107,8,1808,0.000000000000
Morgan,109,4,1804,1.000000000000
Morgan,109,6,1806,0.000000000000
Morgan,109,8,1808,0.000000000000
Morgan,109,9,1809,0.000000000000
Newton,111,1,1801,0.000000000000
Newton,111,4,1804,1.000000000000
Noble,113,2,1802,0.000000000000
Noble,113,3,1803,1.000000000000
Ohio,115,9,1809,1.000000000000
Orange,117,8,1808,1.000000000000
Orange,117,9,1809,0.000000000000
Owen,119,4,1804,0.000000000000
Owen,119,8,1808,1.000000000000
Owen,119,9,1809,0.000000000000
Parke,121,4,1804,0.000000000000
Parke,121,8,1808,1.000000000000
Perry,123,8,1808,1.000000000000
Pike,125,8,1808,1.000000000000
Porter,127,1,1801,1.000000000000
Porter,127,2,1802,0.000000000000
Porter,127,4,1804,0.000000000000
Posey,129,8,1808,1.000000000000
Pulaski,131,2,1802,1.000000000000
Pulaski,131,4,1804,0.000000000000
Putnam,133,4,1804,1.000000000000
Putnam,133,8,1808,0.000000000000
Randolph,135,3,1803,0.449322229992
Randolph,135,5,1805,0.000000002699
Randolph,135,6,1806,0.550677767309
Ripley,137,9,1809,1.000000000000
Rush,139,6,1806,1.000000000000
Rush,139,9,1809,0.000000000000
Scott,143,9,1809,1.000000000000
Shelby,145,6,1806,1.000000000000
Shelby,145,9,1809,0.000000000000
Spencer,147,8,1808,1.000000000000
St. Joseph,141,2,1802,1.000000000000
Starke,149,2,1802,1.000000000000
Starke,149,4,1804,0.000000000000
Steuben,151,3,1803,1.000000000000
Sullivan,153,8,1808,1.000000000000
Switzerland,155,9,1809,1.000000000000
Tippecanoe,157,4,1804,1.000000000000
Tipton,159,4,1804,0.000000000000
Tipton,159,5,1805,1.000000000000
Union,161,6,1806,1.000000000000
Union,161,9,1809,0.000000000000
Vanderburgh,163,8,1808,1.000000000000
Vermillion,165,4,1804,0.000000000000
Vermillion,165,8,1808,1.000000000000
Vigo,167,8,1808,1.000000000000
Wabash,169,2,1802,1.000000000000
Wabash,169,3,1803,0.000000000000
Wabash,169,5,1805,0.000000000000
Warren,171,4,1804,1.000000000000
Warren,171,8,1808,0.000000000000
Warrick,173,8,1808,1.000000000000
Washington,175,8,1808,0.000000000000
Washington,175,9,1809,1.000000000000
Wayne,177,6,1806,1.000000000000
Wells,179,3,1803,1.000000000000
Wells,179,5,1805,0.000000000000
White,181,2,1802,0.000000000000
White,181,4,1804,1.000000000000
Whitley,183,2,1802,0.000000000000
Whitley,183,3,1803,1.000000000000
